key,value
ID,CUSTOMER_ID
CustomerFirstName,FIRSTNAME
CustomerMiddleName,MIDDLENAME
CustomerLastName,LASTNAME
CustomerType,CUSTOMER_TYPE
Gender,GENDER
CustomerBirthDate,DATEOFBIRTH
BirthPlace,BIRTHPLACE
MotherName,MOTHER_MAIDENNAME
Civilstatus,CIVILSTATUS
Nationality,NATIONALITY
IsMinor,IS_MINOR
IsPep,IS_PEP
SourceOFfund,SOURCEOFFUND
MonthlyIncome,MONTHLYINCOME
Occupation,OCCUPATION
CreatedDate,LOAD_DT
Industrytype,INDUSTRYTYPE
Positions,POSITIONS
Nameofemployer,NAMEOFEMPLOYER
RESPHONE,LANDLINE_NO
MOBPHONE,CONTACT_DETAILS
EMAIL,EMAIL
BranchCode,BRANCHCODE
CompanyAddress,COMPANYADDRESS
CustomerAddress1,PPG_HOMEADD
CustomerAddress2,PPG_CITY_MUNICIPALITY
CustomerAddress3,PPG_PROVINCE
CustomerAddress4,PPG_COUNTRY
PRIMARYIDTYPE,PRIMARYIDTYPE
PRIMARYID,PRIMARYID
CARDNO,SUKI_CARD_NUMBER
ISSUINGBRANCH,LOAD_DT_1
ISSUEDATE,ISSUEDATE
EXPIRYDATE,EXPIRYDATE
